  SEQUENCE:
interface_delta_X ligand_rms_no_super_X description
-19.041 6.549 c18_33_c18_1128_0001
-19.040 4.221 c18_33_c18_0470_0001
-19.039 1.948 c18_11_c18_1003_0001
-19.039 2.179 c18_44_c18_0658_0001
-19.026 2.396 c18_22_c18_0966_0001
-19.024 4.403 c18_22_c18_0717_0001
-19.001 1.230 c18_22_c18_0529_0001
-19.000 6.514 c18_33_c18_0706_0001
-18.998 3.933 c18_33_c18_0548_0001
-18.996 6.406 c18_44_c18_0488_0001
-18.992 2.445 c18_88_c18_0691_0001
-18.984 6.826 c18_66_c18_0426_0001
-18.978 1.037 c18_33_c18_0563_0001
-18.978 2.454 c18_22_c18_0531_0001
-18.970 6.408 c18_44_c18_0934_0001
-18.966 6.814 c18_66_c18_0085_0001
-18.964 1.450 c18_66_c18_0073_0001
-18.960 1.149 c18_22_c18_0373_0001
-18.953 1.075 c18_22_c18_0179_0001
-18.947 6.971 c18_55_c18_0205_0001
-18.945 6.402 c18_88_c18_0262_0001
-18.940 7.013 c18_66_c18_0394_0001
-18.935 1.850 c18_33_c18_0048_0001
-18.913 6.478 c18_44_c18_1158_0001
-18.895 1.863 c18_88_c18_0889_0001
-18.890 6.449 c18_33_c18_0375_0001
-18.886 2.370 c18_88_c18_0343_0001
-18.880 1.710 c18_11_c18_1072_0001
-18.875 6.258 c18_44_c18_0707_0001
-18.872 4.711 c18_11_c18_0329_0001
-18.863 0.897 c18_33_c18_0360_0001
-18.862 1.834 c18_77_c18_0035_0001
-18.862 7.759 c18_22_c18_0489_0001
-18.856 6.205 c18_88_c18_0209_0001
-18.846 1.234 c18_22_c18_0046_0001
-18.846 1.563 c18_66_c18_1042_0001
-18.843 6.416 c18_44_c18_0842_0001
-18.842 1.681 c18_55_c18_0339_0001
-18.839 1.185 c18_22_c18_0853_0001
-18.826 6.140 c18_22_c18_1109_0001
-18.818 6.423 c18_11_c18_0710_0001
-18.816 1.672 c18_11_c18_0790_0001
-18.815 1.385 c18_66_c18_0635_0001
-18.813 6.553 c18_33_c18_0796_0001
-18.809 6.378 c18_88_c18_0174_0001
-18.803 0.962 c18_33_c18_0394_0001
-18.793 7.841 c18_66_c18_0184_0001
-18.768 1.390 c18_66_c18_0820_0001
-18.763 6.280 c18_22_c18_0282_0001
-18.755 6.493 c18_11_c18_0047_0001
